mname,avg_distance_2000,avg_distance_2019,max_distance_2000,max_distance_2019,num_above_100,num_above_75,num_above_50
Oskarshamns kommun,53.09162866081188,53.09162866081188,64,64,0,0,22151
Österåkers kommun,18.891245281204164,18.894443242203465,42,42,0,0,0
Östersunds kommun,5.785038438793613,5.785038438793613,45,45,0,0,0
Östhammars kommun,50.753179002282366,50.753179002282366,78,78,0,67,10560
Östra Göinge kommun,23.263832801983703,23.263832801983703,45,45,0,0,0
Ovanåkers kommun,24.14658342598136,74.12605832549389,58,96,0,6061,11692
Överkalix kommun,57.522927689594354,84.71840094062316,97,109,85,3344,3402
Övertorneå kommun,70.91399956455476,116.30285216634007,122,147,4289,4593,4593
Oxelösunds kommun,10.188650436847908,10.188650436847908,14,14,0,0,0
Pajala kommun,106.68198737659814,107.4681987376598,142,156,4517,6062,6179
Partille kommun,4.266086825558191,4.266086825558191,9,9,0,0,0
Perstorps kommun,43.82457851469973,43.82457851469973,50,50,0,0,0
Piteå kommun,6.467487115264197,43.64257502047107,82,99,0,98,2912
Ragunda kommun,45.038777032065624,72.23378076062639,71,94,0,3026,4394
Rättviks kommun,31.83521273571496,46.2505448687577,63,104,16,26,1656
Robertsfors kommun,45.80056179775282,45.80056179775282,60,60,0,0,1598
Ronneby kommun,21.262285920909896,21.262285920909896,47,47,0,0,0
